age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
17, Private,191260, 9th,5, Never-married, Other-service, Own-child, White, Male,1055,0,24.0, United-States, <=50K
24, Private,279472, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,7298,0,48.0, United-States, >50K
22, Private,34918, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,15.0, Germany, <=50K
21, Private,205759, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40.0, United-States, <=50K
21, Private,231931, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,40.680171776549685, United-States, <=50K
24, Private,278130, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40.0, United-States, <=50K
21, Private,153718, Some-college,10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,25.0, United-States, <=50K
24, Private,303296, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40.0, Laos, <=50K
22, Private,199698, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,15.0, United-States, <=50K
24, Private,191954, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
22, Private,399087, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Female,0,0,40.0, Mexico, <=50K
17, Private,270942, 5th-6th,3, Never-married, Other-service, Other-relative, White, Male,0,0,48.0, Mexico, <=50K
19, Private,104112, HS-grad,9, Never-married, Sales, Unmarried, Black, Male,0,0,30.0, Haiti, <=50K
22, State-gov,293364, Some-college,10, Never-married, Protective-serv, Own-child, Black, Female,0,0,40.0, United-States, <=50K
22, Private,410439, HS-grad,9, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,55.0, United-States, <=50K
22, Private,362589, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,0,0,15.0, United-States, <=50K
17, Private,89821, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,10.0, United-States, <=50K
20, Local-gov,350845, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,10.0, United-States, <=50K
23, Private,35633, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
23, Private,396099, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,25.0, United-States, <=50K
19, Private,25429, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,16.0, United-States, <=50K
19, Private,232392, HS-grad,9, Never-married, Other-service, Other-relative, White, Female,0,0,40.0, United-States, <=50K
20, Private,416103, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40.0, United-States, <=50K
24, Private,241951, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40.0, United-States, <=50K
20, Private,61777, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,30.0, United-States, <=50K
17, Private,175024, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,2176,0,18.0, United-States, <=50K
23, Private,204653, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,72.0, Dominican-Republic, <=50K
23, Private,81281, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40.0, United-States, <=50K
24, Federal-gov,191073, HS-grad,9, Never-married, Armed-Forces, Own-child, White, Male,0,0,40.0, United-States, <=50K
20, Private,298227, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,35.0, United-States, <=50K
20, Private,146538, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40.0, United-States, <=50K
19, Private,206399, HS-grad,9, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,40.0, United-States, <=50K
23, Private,54012, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60.0, United-States, <=50K
24, Private,170070, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Female,0,0,20.0, United-States, <=50K
17, Private,211870, 9th,5, Never-married, Other-service, Not-in-family, White, Male,0,0,6.0, United-States, <=50K
22, Private,281432, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30.0, United-States, <=50K
23, Private,197904, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,35.0, United-States, <=50K
20, Private,262749, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40.0, United-States, <=50K
23, Private,403107, 5th-6th,3, Never-married, Other-service, Own-child, White, Male,0,0,40.0, El-Salvador, <=50K
23, Local-gov,324960, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40.0, Poland, <=50K
24, Private,388093, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40.0, United-States, <=50K
19, Private,249609, Some-college,10, Never-married, Protective-serv, Own-child, White, Male,0,0,8.0, United-States, <=50K
24, Local-gov,248344, Some-college,10, Divorced, Handlers-cleaners, Not-in-family, Black, Male,0,0,50.0, United-States, <=50K
21, Private,259510, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,36.0, United-States, <=50K
24, Private,82804, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40.0, United-States, <=50K
20, Private,27337, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,48.0, United-States, <=50K
24, Private,354351, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40.0, United-States, <=50K
17, Private,242718, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,12.0, United-States, <=50K
21, Private,197747, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,24.0, United-States, <=50K
18, Private,156764, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,40.0, United-States, <=50K
23, Private,117789, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,40.0, United-States, <=50K
19, Private,217039, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,28.0, United-States, <=50K
17, Private,169658, 10th,6, Never-married, Other-service, Own-child, White, Female,0,0,21.0, United-States, <=50K
24, Private,247564, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
24, Private,249909, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50.0, United-States, <=50K
23, Private,190483, Bachelors,13, Never-married, Sales, Own-child, White, Female,0,0,20.0, United-States, <=50K
19, Private,262601, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,14.0, United-States, <=50K
21, Private,226181, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
21, Private,160968, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40.0, United-States, <=50K
20, Private,130959, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,20.0, United-States, <=50K
24, Private,556660, HS-grad,9, Never-married, Exec-managerial, Other-relative, White, Male,4101,0,50.0, United-States, <=50K
20, Private,81145, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,25.0, United-States, <=50K
24, Private,172146, 9th,5, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,1721,40.0, United-States, <=50K
17, Self-emp-not-inc,368700, 11th,7, Never-married, Farming-fishing, Own-child, White, Male,0,0,10.0, United-States, <=50K
22, Private,240817, HS-grad,9, Never-married, Sales, Own-child, White, Female,2597,0,40.0, United-States, <=50K
17, Private,102726, 12th,8, Never-married, Other-service, Own-child, White, Male,0,0,16.0, United-States, <=50K
23, Local-gov,430828, Some-college,10, Separated, Exec-managerial, Unmarried, Black, Male,0,0,40.0, United-States, <=50K
18, State-gov,59342, 11th,7, Never-married, Adm-clerical, Own-child, White, Female,0,0,5.0, United-States, <=50K
24, Private,140027, Some-college,10, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,40.680171776549685, United-States, <=50K
20, Private,316702, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,20.0, United-States, <=50K
23, State-gov,335453, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Female,0,0,20.0, United-States, <=50K
19, Private,475028, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,20.0, United-States, <=50K
21, Private,163870, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30.0, United-States, <=50K
18, Private,208103, 11th,7, Never-married, Other-service, Other-relative, White, Male,0,0,25.0, United-States, <=50K
19, State-gov,378418, HS-grad,9, Never-married, Tech-support, Own-child, White, Female,0,0,40.0, United-States, <=50K
22, Private,214399, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,15.0, United-States, <=50K
20, Private,299047, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,20.0, United-States, <=50K
23, Private,352139, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,24.0, United-States, <=50K
19, Private,192453, Some-college,10, Never-married, Other-service, Other-relative, White, Female,0,0,25.0, United-States, <=50K
17, Private,316929, 12th,8, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20.0, United-States, <=50K
22, Private,223515, Bachelors,13, Never-married, Prof-specialty, Unmarried, White, Male,0,0,20.0, United-States, <=50K
23, Private,145111, HS-grad,9, Never-married, Transport-moving, Unmarried, White, Male,0,0,50.0, United-States, <=50K
22, Private,151790, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,0,0,30.0, Germany, <=50K
23, Local-gov,282579, Assoc-voc,11, Divorced, Tech-support, Not-in-family, White, Male,0,0,56.0, United-States, <=50K
18, Private,231193, 12th,8, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30.0, United-States, <=50K
23, Private,211046, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,2463,0,40.0, United-States, <=50K
22, Private,162343, Some-college,10, Never-married, Other-service, Other-relative, Black, Male,0,0,20.0, United-States, <=50K
24, Private,106085, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,1721,30.0, United-States, <=50K
17, Private,193830, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,20.0, United-States, <=50K
20, Private,138768, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,30.0, United-States, <=50K
22, Private,137510, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40.0, United-States, <=50K
17, Private,32607, 10th,6, Never-married, Farming-fishing, Own-child, White, Male,0,0,20.0, United-States, <=50K
24, Self-emp-inc,165474, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,40.0, United-States, <=50K
24, Private,321435, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50.0, United-States, <=50K
17, Private,198124, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,20.0, United-States, <=50K
18, Private,216284, 11th,7, Never-married, Adm-clerical, Own-child, White, Female,0,0,20.0, United-States, <=50K
24, Private,309055, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,15.0, United-States, <=50K
21, Private,62339, 10th,6, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
17, Private,368700, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,28.0, United-States, <=50K
24, Private,121313, Some-college,10, Never-married, Transport-moving, Own-child, White, Male,0,0,50.0, United-States, <=50K
23, Private,153044, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,7.0, United-States, <=50K
19, Private,376540, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30.0, United-States, <=50K
23, Private,205865, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,0,0,28.0, United-States, <=50K
22, Private,226508, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,50.0, United-States, <=50K
22, Private,99697, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40.0, United-States, <=50K
24, Private,202570, Bachelors,13, Never-married, Prof-specialty, Own-child, Black, Male,0,0,15.0, United-States, <=50K
23, Private,543028, HS-grad,9, Never-married, Sales, Own-child, Black, Male,0,0,40.0, United-States, <=50K
21, Private,186648, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,20.0, United-States, <=50K
23, Private,257509, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,25.0, United-States, <=50K
22, Private,91842, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,42.0, United-States, <=50K
23, Private,375871, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40.0, Mexico, <=50K
18, Private,293227, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40.680171776549685, United-States, <=50K
20, Private,241752, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40.0, United-States, <=50K
18, Private,177722, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,20.0, United-States, <=50K
20, Private,323573, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,20.0, United-States, <=50K
21, Private,255957, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,4101,0,40.0, United-States, <=50K
22, Private,284317, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40.0, United-States, <=50K
20, Private,148294, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,40.0, United-States, <=50K
23, Local-gov,115244, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,60.0, United-States, <=50K
22, Private,122346, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
23, Private,129042, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40.0, United-States, <=50K
20, State-gov,223515, Assoc-acdm,12, Never-married, Other-service, Own-child, White, Male,0,1719,20.0, United-States, <=50K
23, Private,137994, Some-college,10, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,40.0, United-States, <=50K
24, Private,34446, Some-college,10, Never-married, Tech-support, Not-in-family, White, Female,0,0,37.0, United-States, <=50K
23, Private,217961, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40.0, United-States, <=50K
20, Private,74631, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,50.0, United-States, <=50K
22, Local-gov,34029, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,20.0, United-States, <=50K
17, Private,220384, 11th,7, Never-married, Adm-clerical, Own-child, White, Male,0,0,15.0, United-States, <=50K
19, Self-emp-not-inc,36012, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,20.0, United-States, <=50K
22, Private,191342, Bachelors,13, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,50.0, Taiwan, <=50K
19, Local-gov,167816, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,35.0, United-States, <=50K
21, Private,163870, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40.0, United-States, <=50K
22, Self-emp-not-inc,361280, Bachelors,13, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,20.0, India, <=50K
20, Private,117606, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White, Female,0,0,40.0, United-States, <=50K
19, Private,194608, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,20.0, United-States, <=50K
20, Private,230891, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,40.680171776549685, United-States, <=50K
20, Private,275691, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,28.0, United-States, <=50K
20, Private,411862, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Male,0,0,30.0, United-States, <=50K
22, Private,188544, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White, Female,0,0,30.0, United-States, <=50K
24, Local-gov,289886, 11th,7, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40.680171776549685, United-States, <=50K
24, State-gov,191269, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,65.0, United-States, <=50K
19, Private,187161, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,25.0, United-States, <=50K
18, Private,240747, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40.0, Dominican-Republic, <=50K
20, Private,205839, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,16.0, United-States, <=50K
23, Private,174754, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,30.0, United-States, <=50K
22, Self-emp-inc,153516, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,35.0, United-States, <=50K
20, Private,232577, Some-college,10, Never-married, Other-service, Unmarried, White, Female,0,0,40.0, United-States, <=50K
21, Private,164019, Some-college,10, Never-married, Farming-fishing, Own-child, Black, Male,0,0,10.0, United-States, <=50K
21, Private,236696, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,57.0, United-States, <=50K
22, Private,58222, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40.0, United-States, <=50K
24, Private,96279, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40.0, United-States, <=50K
20, Private,114874, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,30.0, United-States, <=50K
24, Private,293579, HS-grad,9, Never-married, Sales, Own-child, Black, Female,0,0,20.0, United-States, <=50K
20, Private,324469, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40.0, United-States, <=50K
23, Private,275244, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,35.0, United-States, <=50K
23, Private,181820, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40.0, United-States, <=50K
22, Private,103440, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,24.0, United-States, <=50K
20, Private,444554, 10th,6, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40.0, United-States, <=50K
23, Private,37072, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,50.0, United-States, <=50K
19, Private,119075, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,50.0, United-States, <=50K
17, Private,46496, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,5.0, United-States, <=50K
19, Federal-gov,234151, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40.0, United-States, <=50K
24, Private,241523, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40.680171776549685, United-States, >50K
19, Private,213644, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
22, Private,310152, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
24, Private,42706, Assoc-voc,11, Never-married, Protective-serv, Not-in-family, White, Male,0,0,60.0, United-States, <=50K
22, Private,207940, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,36.0, United-States, <=50K
17, Private,197850, 11th,7, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,24.0, United-States, <=50K
19, Private,225775, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
20, Private,32732, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,40.680171776549685, United-States, <=50K
20, Private,431745, Some-college,10, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,14.0, United-States, <=50K
17, Local-gov,32124, 9th,5, Never-married, Other-service, Own-child, Black, Male,0,0,9.0, United-States, <=50K
20, Private,170800, Some-college,10, Never-married, Farming-fishing, Own-child, White, Female,0,0,40.0, United-States, <=50K
20, Private,231286, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,15.0, United-States, <=50K
22, Private,214731, 10th,6, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40.0, United-States, <=50K
17, Private,163494, 10th,6, Never-married, Sales, Own-child, White, Male,0,0,30.0, United-States, <=50K
23, Private,200973, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40.0, United-States, <=50K
17, Private,130806, 10th,6, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,24.0, United-States, <=50K
24, Private,213977, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40.0, United-States, <=50K
23, Private,315877, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30.0, United-States, <=50K
21, Private,236684, Some-college,10, Never-married, Other-service, Other-relative, Black, Female,0,0,8.0, United-States, <=50K
18, Private,208447, 12th,8, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,6.0, United-States, <=50K
24, Private,198148, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,30.0, United-States, <=50K
19, Private,124265, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40.0, United-States, <=50K
24, State-gov,147253, Some-college,10, Never-married, Tech-support, Not-in-family, White, Male,0,0,50.0, United-States, <=50K
22, Private,169188, HS-grad,9, Never-married, Exec-managerial, Own-child, White, Female,0,0,20.0, United-States, <=50K
23, Private,121471, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40.0, United-States, <=50K
19, Private,176570, 11th,7, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,60.0, United-States, <=50K
24, Private,216129, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,50.0, United-States, <=50K
22, State-gov,178818, Some-college,10, Never-married, Prof-specialty, Own-child, White, Female,0,0,20.0, United-States, <=50K
19, Private,323421, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20.0, United-States, <=50K
18, Private,214617, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,16.0, United-States, <=50K
20, Private,180052, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,20.0, United-States, <=50K
24, Private,38455, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
20, Self-emp-not-inc,211466, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,80.0, United-States, <=50K
17, Private,103851, 11th,7, Never-married, Adm-clerical, Own-child, White, Female,1055,0,20.0, United-States, <=50K
19, Private,375077, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,50.0, United-States, <=50K
18, Private,46247, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,15.0, United-States, <=50K
24, Private,266926, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40.0, United-States, <=50K
24, Private,67222, Bachelors,13, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40.680171776549685, China, <=50K
21, Private,57711, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,30.0, United-States, <=50K
24, Private,180060, Masters,14, Never-married, Exec-managerial, Own-child, White, Male,6849,0,90.0, United-States, <=50K
21, Private,32616, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,1719,16.0, United-States, <=50K
20, Private,154781, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40.0, United-States, <=50K
19, Private,197384, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,10.0, United-States, <=50K
24, Private,228424, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, Black, Male,0,0,40.0, United-States, <=50K
23, Private,207546, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40.0, United-States, <=50K
