order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit,postal_code,region_id
CA-2017-5562983,2017-05-02,2017-05-05,Second Class,EM-3960,TEC-MEM-10002883,100.08,1,0.02,0.0,,4792.0
US-2019-3840573,2019-05-20,2019-05-24,Same Day,AG-10330,OFF-FA-10001175,22.68,5,0.05,0.0,,3722.0
IT-2019-304846,2019-12-24,2019-12-25,Second Class,GA-14515,OFF-ST-10000154,32.4,6,0.3,0.24,,3104.0
CA-2019-3006930,2019-09-20,2019-09-20,Second Class,AH-10210,OFF-BI-10003650,1577.94,3,0.15,0.1,,3373.0
US-2017-706769,2017-07-14,2017-07-14,Same Day,KE-16420,OFF-PA-10000501,80.88,3,0.12,0.1,,3855.0
MX-2018-4139938,2018-06-12,2018-06-13,Standard Class,JL-15235,FUR-CH-10004783,75.12,2,0.18,0.15,85705.0,4553.0
US-2017-5218669,2017-05-25,2017-05-28,Same Day,BF-11170,OFF-PA-10003134,153.73,4,0.02,0.0,,1573.0
MX-2018-3394119,2018-12-24,2018-12-28,Standard Class,EH-14005,OFF-AR-10004373,59.1,3,0.13,0.1,,3539.0
ES-2018-5300264,2018-12-07,2018-12-07,Second Class,LM-17065,OFF-ST-10004577,145.07,3,0.28,0.24,,16676.0
CA-2019-5239277,2019-12-16,2019-12-20,Same Day,AG-10330,OFF-PA-10002005,12.96,2,0.25,0.19,95123.0,4553.0
IN-2019-336657,2019-11-09,2019-11-13,Same Day,MM-18055,OFF-FA-10004447,60.16,4,0.05,0.0,,3280.0
US-2019-5922211,2019-07-17,2019-07-20,Second Class,LS-17200,OFF-BI-10003460,17.52,4,0.35,0.29,,3855.0
ES-2017-1402240,2017-03-20,2017-03-24,Second Class,CM-12190,OFF-BI-10000341,258.9,5,0.12,0.1,94122.0,4553.0
CA-2017-4653598,2017-12-30,2018-01-04,Second Class,BT-11530,TEC-PH-10004093,110.38,4,0.22,0.2,,783.0
US-2018-356108,2018-11-22,2018-11-27,Second Class,EP-13915,OFF-BI-10001989,12.59,3,0.33,0.29,,1546.0
TU-2017-4840691,2017-08-24,2017-08-26,Standard Class,KW-6570,TEC-HEW-10004937,127.82,1,0.47,0.44,,1826.0
RW-2019-580015,2019-12-11,2019-12-12,Second Class,JR-6210,TEC-SAM-10000345,166.83,1,0.15,0.1,47374.0,1488.0
ES-2019-5106554,2019-08-23,2019-08-23,Second Class,EH-13990,OFF-ST-10002608,25.78,6,0.3,0.24,,1666.0
ES-2018-1039847,2018-10-09,2018-10-12,Second Class,CL-11890,TEC-AC-10003814,1301.25,5,0.23,0.19,90049.0,4553.0
ID-2016-2295900,2016-06-02,2016-06-06,Second Class,RW-19540,TEC-PH-10004358,735.16,12,0.1,0.1,,4023.0
CA-2018-5498763,2018-04-16,2018-04-18,Standard Class,RF-19840,OFF-AP-10001271,203.92,4,0.33,0.29,,38728.0
ID-2018-4388404,2018-11-21,2018-11-24,Same Day,MS-17710,OFF-SU-10000062,23.61,1,0.33,0.29,90049.0,4553.0
CM-2018-3141216,2018-10-03,2018-10-03,Standard Class,DB-3360,TEC-PAN-10002613,533.22,2,0.28,0.24,,783.0
SA-2019-4002087,2019-01-16,2019-01-16,First Class,AR-345,OFF-GLO-10003496,27.39,1,0.3,0.24,,7494.0
MX-2018-1951978,2018-12-17,2018-12-18,Standard Class,NP-18685,TEC-CO-10002201,334.93,4,0.23,0.19,,7019.0
ZA-2016-5526262,2016-12-13,2016-12-17,Standard Class,CS-2505,FUR-RUB-10003699,37.8,2,0.05,0.05,,3080.0
MX-2019-1852110,2019-05-13,2019-05-16,Standard Class,JK-15370,FUR-BO-10001369,78.3,1,0.25,0.19,,4364.0
GB-2017-3596510,2017-05-27,2017-05-27,First Class,JA-5970,OFF-JIF-10004747,29.55,1,0.02,0.0,,3031.0
IN-2017-4478021,2017-07-13,2017-07-18,Second Class,RH-19495,OFF-ST-10002650,743.04,4,0.07,0.05,,6093.0
NI-2018-1627228,2018-09-07,2018-09-07,Standard Class,TD-10995,FUR-SAF-10000508,116.94,1,0.23,0.19,,1546.0
RO-2018-1691143,2018-12-25,2018-12-29,Second Class,TZ-11445,OFF-CAR-10002375,27.0,2,0.38,0.34,,4792.0
JO-2018-3376790,2018-04-09,2018-04-13,Standard Class,DA-3450,OFF-HAM-10003992,233.04,4,0.58,0.53,,6017.0
MX-2019-4529735,2019-07-07,2019-07-08,Same Day,CL-12700,OFF-PA-10002522,99.0,5,0.25,0.19,,4207.0
MX-2018-2577676,2018-11-13,2018-11-16,Standard Class,MC-18130,FUR-BO-10003563,97.26,1,0.23,0.19,,1784.0
CA-2018-1516785,2018-11-06,2018-11-06,Standard Class,LH-17020,FUR-FU-10004020,38.29,7,0.28,0.24,,4792.0
MX-2019-2048300,2019-12-15,2019-12-20,Same Day,AG-10300,OFF-FA-10003499,54.48,6,0.05,0.0,,2570.0
ES-2017-3543108,2017-12-01,2017-12-02,Same Day,JF-15190,OFF-SU-10003234,118.26,3,0.07,0.05,,3539.0
IN-2019-5475719,2019-11-29,2019-11-29,Same Day,KH-16630,OFF-SU-10003332,79.68,4,0.35,0.28,94122.0,4553.0
ES-2019-4706757,2019-10-08,2019-10-11,First Class,BE-11335,OFF-EN-10003448,85.59,9,0.25,0.19,,21008.0
MX-2018-1893016,2018-01-05,2018-01-07,Standard Class,KF-16285,OFF-AR-10003829,14.7,1,0.13,0.1,,45585.0
ES-2019-3455291,2019-07-14,2019-07-15,Standard Class,SA-20830,FUR-FU-10003325,87.9,2,0.3,0.24,90049.0,4553.0
IN-2018-147272,2018-08-13,2018-08-13,Second Class,FW-14395,TEC-PH-10001884,385.9,7,0.38,0.34,,1546.0
US-2018-5382083,2018-06-05,2018-06-06,Standard Class,CC-12670,OFF-AP-10002165,57.43,2,0.33,0.29,77095.0,1488.0
ES-2017-5622166,2017-07-09,2017-07-14,Same Day,DJ-13420,OFF-FA-10004709,29.32,2,0.22,0.2,,1826.0
ES-2019-4490467,2019-11-11,2019-11-12,Second Class,AG-10525,OFF-BI-10003999,27.09,7,0.35,0.29,,4792.0
ES-2016-3312416,2016-12-03,2016-12-08,Standard Class,HG-14845,OFF-AR-10000502,38.4,2,0.1,0.1,,3080.0
ID-2019-3674094,2019-07-07,2019-07-09,Same Day,NP-18700,OFF-LA-10001830,11.99,2,0.05,0.0,,783.0
ES-2019-5335926,2019-06-08,2019-06-13,Second Class,TZ-21445,OFF-ST-10003764,67.92,4,0.1,0.05,85204.0,4553.0
ES-2017-1059749,2017-02-13,2017-02-16,First Class,SP-20920,OFF-ST-10003414,248.13,5,0.25,24.78,,28921.0
US-2019-4058659,2019-06-19,2019-06-23,First Class,SH-20395,OFF-EN-10004470,11.52,3,0.05,0.0,,5003.0
EG-2018-2544926,2018-04-06,2018-04-06,Standard Class,JK-6120,FUR-RUB-10001094,43.86,1,0.08,0.05,,3539.0
IZ-2019-3026031,2019-05-11,2019-05-13,Standard Class,EM-3960,OFF-BIN-10002407,118.62,6,0.4,0.33,,6017.0
ID-2017-3869531,2017-06-25,2017-06-30,Standard Class,EB-13870,TEC-MA-10001527,202.06,5,0.52,0.49,,1826.0
IZ-2018-2327069,2018-05-07,2018-05-12,Second Class,IL-5100,TEC-LOG-10001137,144.9,2,0.28,0.24,,4792.0
CA-2019-1958873,2019-06-26,2019-06-27,Second Class,LS-17200,OFF-BI-10000546,2.3,4,0.35,0.29,,16676.0
IN-2018-632196,2018-06-14,2018-06-15,Same Day,EA-14035,OFF-LA-10000732,11.99,2,0.03,0.0,,3104.0
CA-2019-3165918,2019-11-16,2019-11-16,Standard Class,JD-16150,OFF-AP-10003849,2504.74,7,0.45,0.38,,3855.0
KZ-2017-5162106,2017-11-16,2017-11-16,Standard Class,KC-6255,OFF-SAN-10004881,8.13,1,0.37,0.34,,71845.0
ES-2019-1180999,2019-12-18,2019-12-23,First Class,ES-14020,OFF-EN-10001997,41.76,2,0.25,0.19,,1410.0
IN-2017-3896286,2017-09-12,2017-09-13,Second Class,BP-11185,OFF-ST-10003088,33.75,2,0.07,0.05,,71845.0
IN-2019-4234507,2019-03-15,2019-03-19,Second Class,AW-10840,TEC-AC-10004334,245.13,1,0.35,0.28,,1546.0
IN-2019-2184907,2019-05-02,2019-05-04,Same Day,DK-12985,OFF-LA-10004062,17.03,2,0.3,0.24,30344.0,3688.0
ES-2019-1241351,2019-07-30,2019-07-31,Standard Class,RA-19915,FUR-CH-10001278,114.78,5,0.2,0.14,80219.0,4553.0
IN-2017-3401600,2017-09-17,2017-09-21,Same Day,JJ-15760,OFF-SU-10001762,149.13,3,0.37,0.34,,1246.0
CA-2019-1731087,2019-10-10,2019-10-11,Second Class,AG-10900,OFF-ST-10001476,177.55,5,0.1,0.05,28205.0,3688.0
CA-2018-4395939,2018-08-31,2018-09-03,Second Class,SC-20695,TEC-PH-10003505,519.68,7,0.13,0.1,,19848.0
IN-2020-2274198,2020-01-13,2020-01-14,First Class,KM-16225,OFF-EN-10002630,67.2,5,0.27,0.19,,2570.0
MO-2018-1839190,2018-02-23,2018-02-25,Standard Class,GP-4740,FUR-SAU-10004221,149.82,1,0.23,0.19,,2570.0
ID-2018-4274040,2018-12-20,2018-12-21,Same Day,SP-20650,OFF-FA-10001072,37.44,4,0.33,0.29,,3104.0
CA-2019-1759075,2019-07-29,2019-07-30,Standard Class,JG-15160,OFF-AP-10002578,97.84,2,0.45,0.38,,1573.0
MO-2018-1570506,2018-12-06,2018-12-09,Standard Class,GM-4695,TEC-OKI-10004735,245.82,2,0.28,0.24,77095.0,1488.0
TU-2018-3564847,2018-08-21,2018-08-21,Second Class,AH-195,TEC-MOT-10004345,175.32,6,0.38,0.34,98115.0,4553.0
CA-2016-384948,2016-11-20,2016-11-21,Standard Class,WB-21850,FUR-TA-10002041,573.73,4,0.4,0.4,94122.0,4553.0
MX-2019-3412100,2019-12-04,2019-12-07,Standard Class,PA-19060,FUR-TA-10004134,339.52,2,0.25,0.19,,1573.0
IN-2019-5257191,2019-12-13,2019-12-17,Same Day,DB-13615,OFF-FA-10002965,77.52,4,0.05,0.0,,3539.0
ZA-2018-4201262,2018-06-17,2018-06-22,Second Class,BF-1170,OFF-IBI-10001123,30.81,1,0.13,0.1,,5003.0
ID-2017-4213005,2017-04-22,2017-04-24,Same Day,JH-15910,OFF-PA-10003416,14.93,1,0.02,0.0,,2898.0
CA-2019-1879295,2019-02-11,2019-02-15,Second Class,BO-11350,OFF-BI-10003638,30.96,2,0.35,0.29,19143.0,5636.0
US-2017-101511,2017-11-21,2017-11-23,Second Class,JE-15745,OFF-SU-10002189,15.88,5,0.15,-3.77,91104.0,4553.0
MX-2016-1336508,2016-12-29,2016-12-29,Standard Class,VD-21670,FUR-CH-10003733,223.12,5,0.15,0.15,,3870.0
MX-2019-276306,2019-02-16,2019-02-21,Second Class,JM-15265,TEC-PH-10000577,152.1,3,0.15,0.1,19143.0,5636.0
US-2019-3790786,2019-07-04,2019-07-08,Standard Class,CC-12685,OFF-AP-10002709,120.0,5,0.55,0.47,,1546.0
MX-2019-5979095,2019-09-20,2019-09-20,Same Day,AB-10060,OFF-LA-10000203,13.32,5,0.05,0.0,,2898.0
US-2017-4473102,2017-10-03,2017-10-04,Same Day,DD-13570,OFF-LA-10000236,15.95,3,0.22,0.2,,3104.0
ES-2019-3454892,2019-06-15,2019-06-17,Standard Class,AB-10060,OFF-AR-10000079,148.68,6,0.15,0.1,,4792.0
CA-2017-1611336,2017-11-24,2017-11-29,Second Class,AG-10495,TEC-PH-10001527,68.72,2,0.32,0.29,,6017.0
IN-2019-5432301,2019-04-11,2019-04-15,Second Class,KF-16285,TEC-AC-10004848,793.58,8,0.05,0.0,,1666.0
IZ-2019-498571,2019-08-28,2019-08-28,Second Class,Dl-3600,TEC-SAM-10004785,636.15,1,0.4,0.33,98115.0,4553.0
GH-2020-4364883,2020-01-03,2020-01-05,Standard Class,DV-3465,OFF-STA-10000298,98.94,2,0.17,0.09,,783.0
CA-2018-5545705,2018-05-16,2018-05-17,Second Class,LS-6945,TEC-BEL-10003177,81.69,1,0.03,0.0,,3539.0
CA-2019-3631869,2019-03-16,2019-03-20,Second Class,KD-16615,OFF-BI-10001757,19.68,5,0.35,0.29,,7530.0
CA-2018-4578456,2018-09-05,2018-09-10,Second Class,PG-18820,TEC-AC-10001432,468.9,6,0.13,0.1,33180.0,3688.0
IN-2019-1568434,2019-08-24,2019-08-28,Same Day,JW-15220,OFF-LA-10003396,66.45,5,0.35,0.28,80027.0,4553.0
IN-2019-4191254,2019-01-04,2019-01-05,Second Class,AH-10585,TEC-AC-10004938,203.55,5,0.25,0.19,,783.0
IT-2018-2486885,2018-02-18,2018-02-21,Second Class,JW-15220,OFF-BI-10002289,69.66,9,0.33,0.29,,16676.0
ES-2018-1068528,2018-03-31,2018-04-05,Second Class,NP-18670,TEC-PH-10004772,859.32,6,0.33,0.29,,2898.0
CA-2018-4755409,2018-11-09,2018-11-12,Second Class,NR-18550,OFF-BI-10004584,315.98,1,0.23,0.19,,4792.0
RS-2019-1378397,2019-05-09,2019-05-12,Second Class,MH-7455,OFF-IBI-10004959,30.96,2,0.4,0.33,,3280.0
IT-2017-886703,2017-01-08,2017-01-08,Same Day,CG-12040,OFF-FA-10001097,5.75,1,0.02,0.0,,2898.0
IR-2020-84346,2020-01-08,2020-01-10,Standard Class,TC-11145,TEC-HEW-10001074,1285.44,4,0.52,0.42,,783.0
TZ-2018-5907053,2018-03-04,2018-03-08,Second Class,SM-10950,OFF-AVE-10004512,4.41,1,0.13,0.1,,3104.0
IS-2018-661126,2018-10-26,2018-10-28,Second Class,SD-10485,OFF-CAR-10004229,14.52,2,0.38,0.34,,4792.0
IN-2016-4258479,2016-03-03,2016-03-06,Same Day,CS-11845,OFF-LA-10003627,11.26,3,0.0,0.0,,3080.0
US-2019-4294364,2019-06-11,2019-06-13,Same Day,EA-14035,OFF-PA-10002418,20.16,2,0.25,0.19,,3855.0
CA-2018-4399887,2018-05-29,2018-05-30,Standard Class,VP-21760,FUR-FU-10003976,37.74,3,0.18,0.15,10035.0,5636.0
IR-2018-2395015,2018-06-21,2018-06-22,Second Class,HA-4905,TEC-NOK-10001172,123.24,1,0.38,0.34,,4792.0
SA-2019-3438482,2019-06-07,2019-06-12,First Class,AC-450,OFF-KRA-10002406,50.46,1,0.3,0.24,,1784.0
IT-2019-5993563,2019-01-13,2019-01-16,Second Class,DO-13645,OFF-BI-10001119,11.82,2,0.15,0.1,90049.0,4553.0
ID-2018-513002,2018-01-29,2018-01-29,Same Day,JK-15325,OFF-SU-10001877,7.31,1,0.33,0.29,,6093.0
RO-2019-2261185,2019-11-10,2019-11-13,Second Class,JE-5475,TEC-ENE-10003801,41.73,1,0.3,0.24,92105.0,4553.0
ID-2019-5779809,2019-05-04,2019-05-04,Second Class,MS-17530,TEC-PH-10001619,275.62,2,0.15,0.1,,26965.0
CA-2019-2877076,2019-11-22,2019-11-23,Standard Class,LC-16885,FUR-FU-10003268,119.94,3,0.3,0.24,10035.0,5636.0
CA-2017-1593621,2017-05-22,2017-05-23,Second Class,NH-8610,OFF-ACC-10002220,102.18,2,0.12,0.1,72701.0,3688.0
MX-2019-5271517,2019-07-14,2019-07-18,Same Day,RK-19300,OFF-PA-10003513,29.88,2,0.05,0.0,,1864.0
US-2019-4508364,2019-12-11,2019-12-13,Standard Class,CC-12220,FUR-FU-10003394,139.92,2,0.3,0.24,,3104.0
CA-2018-3917789,2018-04-08,2018-04-13,Standard Class,JF-15295,FUR-CH-10000225,194.35,3,0.38,0.34,,3104.0
IN-2019-3051375,2019-10-09,2019-10-14,First Class,MC-17575,OFF-EN-10001109,116.39,5,0.3,0.24,,3080.0
CA-2019-71830,2019-10-06,2019-10-08,Second Class,RW-19690,OFF-ST-10000025,286.29,3,0.3,0.24,,6093.0
MX-2019-3609228,2019-11-05,2019-11-09,Second Class,KN-16390,OFF-BI-10003373,163.2,5,0.15,0.1,84604.0,4553.0
HU-2017-3569402,2017-10-12,2017-10-14,Same Day,CM-2190,OFF-ACM-10004669,103.08,2,0.32,0.29,,3104.0
IT-2019-1042513,2019-03-14,2019-03-18,Standard Class,RP-19270,TEC-CO-10004099,1505.98,6,0.45,0.38,,3849.0
ES-2019-2853650,2019-04-15,2019-04-20,Standard Class,RD-19660,TEC-CO-10001633,881.55,3,0.45,0.38,,71845.0
ES-2019-2220507,2019-07-07,2019-07-07,Standard Class,CY-12745,FUR-FU-10003069,146.79,3,0.1,0.05,,6017.0
ES-2018-2038286,2018-01-05,2018-01-05,Standard Class,JD-15790,OFF-AR-10002902,161.1,3,0.33,0.29,,3104.0
CA-2019-121125,2019-05-31,2019-06-04,Standard Class,MG-17890,TEC-PH-10001619,156.79,1,0.3,17.64,90049.0,4553.0
CA-2018-5768681,2018-07-08,2018-07-08,Same Day,EA-14035,OFF-PA-10004782,12.96,2,0.23,0.19,,783.0
US-2017-5277319,2017-10-31,2017-11-04,First Class,EC-14050,OFF-EN-10003939,56.3,3,0.02,0.0,,3722.0
IZ-2018-1829640,2018-11-23,2018-11-28,Same Day,DJ-3510,OFF-HON-10002456,12.81,1,0.28,0.24,,783.0
IT-2017-2583322,2017-11-26,2017-11-30,Standard Class,SS-20140,FUR-BO-10001873,207.43,3,0.42,0.39,,1573.0
KZ-2019-4979832,2019-12-17,2019-12-19,Second Class,AS-630,OFF-TEN-10000827,40.24,1,0.35,0.28,,26965.0
US-2019-4251015,2019-11-25,2019-11-27,Standard Class,WB-21850,FUR-FU-10001475,87.92,5,0.2,0.14,,3080.0
SO-2018-2768620,2018-11-16,2018-11-20,First Class,GM-4455,OFF-AME-10002956,14.64,1,0.03,0.0,60653.0,1488.0
ID-2019-5479320,2019-07-29,2019-07-31,Second Class,CC-12430,TEC-AC-10004652,40.83,2,0.3,0.24,,783.0
MX-2019-1639019,2019-03-17,2019-03-19,Standard Class,NF-18385,FUR-FU-10003874,52.38,3,0.1,0.05,,3849.0
IN-2017-5648946,2017-09-05,2017-09-08,Second Class,SW-20755,TEC-AC-10002335,517.59,5,0.02,0.0,,783.0
ES-2019-2824980,2019-02-24,2019-02-26,First Class,LS-17245,OFF-EN-10000271,96.12,4,0.05,0.0,,1573.0
IN-2018-810567,2018-12-30,2019-01-03,Same Day,KD-16345,OFF-PA-10003455,185.46,11,0.33,0.29,98006.0,4553.0
UP-2019-2724885,2019-03-30,2019-04-02,Same Day,JL-5235,OFF-ACC-10004430,16.11,1,0.3,0.24,10035.0,5636.0
CA-2018-3316917,2018-07-31,2018-08-02,Second Class,AA-10480,TEC-PH-10002170,209.97,3,0.33,0.29,,1573.0
MX-2017-607445,2017-09-06,2017-09-11,Standard Class,MC-17635,FUR-BO-10002214,451.6,4,0.42,0.39,41042.0,3688.0
ZI-2019-653670,2019-08-24,2019-08-29,Second Class,LO-7170,OFF-IBI-10003732,2.55,1,0.15,0.1,,6017.0
IN-2019-3493576,2019-10-12,2019-10-14,Same Day,CS-12250,OFF-PA-10001979,315.0,14,0.35,0.28,,28804.0
RS-2019-4074301,2019-02-17,2019-02-18,First Class,AG-675,OFF-JIF-10000890,44.82,2,0.3,0.24,,2125.0
ID-2019-4229673,2019-12-06,2019-12-09,Same Day,LS-17200,OFF-LA-10000732,24.71,7,0.3,0.24,,2125.0
ES-2019-2555536,2019-11-25,2019-11-25,Same Day,PB-19210,OFF-PA-10000450,67.86,2,0.25,0.19,,1666.0
MX-2017-5682899,2017-12-09,2017-12-12,Second Class,FH-14365,TEC-PH-10002672,3474.08,8,0.12,0.1,78501.0,1488.0
ES-2018-1810432,2018-03-23,2018-03-25,Second Class,BS-11665,TEC-PH-10001066,1622.56,3,0.33,0.29,,7530.0
ES-2019-176789,2019-06-18,2019-06-18,Standard Class,FH-14350,OFF-AR-10002991,120.45,5,0.35,0.29,,16676.0
CA-2019-856628,2019-11-09,2019-11-09,First Class,DG-13300,OFF-EN-10003055,79.96,2,0.15,0.1,,4792.0
IN-2019-4190940,2019-09-03,2019-09-05,Standard Class,JL-15235,OFF-AR-10004749,375.9,7,0.45,0.38,,2898.0
MX-2019-2567766,2019-10-28,2019-10-28,Standard Class,TZ-21445,FUR-BO-10001507,484.52,2,0.45,0.38,,6093.0
NI-2019-832829,2019-11-09,2019-11-09,Second Class,SH-9975,OFF-IBI-10000099,4.48,1,0.15,0.1,,13836.0
MX-2016-2845210,2016-07-14,2016-07-19,Second Class,JC-15340,OFF-ST-10002343,193.92,6,0.05,0.05,,5580.0
IN-2018-4997445,2018-08-28,2018-08-31,Same Day,YC-21895,OFF-PA-10004495,89.46,3,0.23,0.19,,3104.0
ID-2016-4307860,2016-11-17,2016-11-18,Second Class,KB-16600,TEC-PH-10004211,219.1,4,0.1,0.1,,3280.0
US-2019-1584691,2019-04-05,2019-04-06,Standard Class,MC-17635,FUR-TA-10001622,403.2,3,0.25,0.19,,3104.0
IN-2018-761483,2018-01-30,2018-02-01,Same Day,JH-15910,OFF-PA-10000302,50.33,2,0.03,0.0,94122.0,4553.0
MX-2017-281088,2017-08-23,2017-08-24,First Class,FM-14290,OFF-EN-10003425,73.92,3,0.02,0.0,,3539.0
US-2018-4933728,2018-09-06,2018-09-08,Standard Class,HA-14920,OFF-AP-10002518,569.54,4,0.33,0.29,,8879.0
IN-2018-632053,2018-10-17,2018-10-18,Standard Class,KC-16540,FUR-BO-10001967,410.35,3,0.23,0.19,76903.0,1488.0
US-2019-2751676,2019-06-23,2019-06-28,Same Day,BE-11455,OFF-SU-10003485,10.92,1,0.3,0.24,,2125.0
IN-2018-234891,2018-09-24,2018-09-29,Standard Class,BM-11650,OFF-AP-10002573,487.59,1,0.33,0.29,,783.0
TU-2018-4572971,2018-11-05,2018-11-10,Standard Class,LS-7230,OFF-BOS-10001511,87.84,4,0.38,0.34,95123.0,4553.0
CA-2019-4481546,2019-11-30,2019-11-30,Second Class,DR-12940,OFF-BI-10004099,11.52,5,0.15,0.1,,1826.0
MD-2019-2874392,2019-04-14,2019-04-16,Second Class,EM-3960,OFF-CAR-10000150,26.58,2,0.4,0.33,76017.0,1488.0
MX-2019-5056284,2019-07-22,2019-07-23,Standard Class,PL-18925,FUR-BO-10000624,583.48,2,0.45,0.38,,19848.0
IN-2019-149900,2019-11-29,2019-12-01,Standard Class,CB-12535,FUR-BO-10002204,334.77,3,0.25,0.19,,6093.0
MX-2019-1211854,2019-07-27,2019-08-01,Same Day,MC-17590,OFF-LA-10003515,41.4,5,0.25,0.19,80027.0,4553.0
IN-2019-347543,2019-07-07,2019-07-08,Second Class,RB-19330,TEC-AC-10002389,162.0,4,0.05,0.0,,45585.0
IR-2018-1118126,2018-05-13,2018-05-13,Second Class,BD-1725,OFF-IBI-10004074,29.91,1,0.38,0.34,44060.0,5636.0
ES-2017-2798149,2017-08-10,2017-08-14,Standard Class,VW-21775,FUR-BO-10000034,791.1,2,0.42,0.39,,6017.0
IT-2016-854490,2016-05-26,2016-05-30,Second Class,PB-19105,OFF-ST-10000355,18.66,4,0.25,0.25,,3031.0
ES-2018-4285139,2018-09-09,2018-09-11,Same Day,BD-11620,OFF-LA-10002486,53.1,6,0.23,0.19,85635.0,4553.0
CA-2019-3549329,2019-12-05,2019-12-09,Second Class,RA-19915,OFF-BI-10003364,46.67,2,0.35,0.29,,2253.0
CA-2017-490188,2017-05-29,2017-06-03,Standard Class,SV-20785,OFF-AR-10001468,59.9,2,0.22,0.2,92804.0,4553.0
MX-2018-942634,2018-09-21,2018-09-22,Same Day,MS-17365,OFF-FA-10003797,22.18,3,0.03,0.0,,3104.0
US-2018-760044,2018-01-26,2018-01-26,Second Class,LC-16960,OFF-BI-10002026,34.86,2,0.13,0.1,,2898.0
SF-2018-2786116,2018-08-11,2018-08-11,Second Class,DB-3060,OFF-IBI-10001494,9.27,1,0.13,0.1,,2570.0
TU-2019-3410359,2019-06-08,2019-06-08,Same Day,GR-4560,OFF-HON-10000172,3.38,1,0.3,0.24,,6017.0
IT-2018-810412,2018-12-03,2018-12-06,Second Class,PW-19030,OFF-ST-10001460,88.13,3,0.08,0.05,,3104.0
IN-2019-1768799,2019-05-31,2019-06-03,Second Class,BD-11770,TEC-PH-10000896,1215.36,8,0.35,0.29,,19848.0
IN-2017-4429759,2017-11-22,2017-11-23,Same Day,BW-11110,OFF-SU-10001535,244.23,7,0.27,0.24,10035.0,5636.0
CA-2018-104635,2018-07-05,2018-07-08,Standard Class,RC-19825,FUR-CH-10003846,161.57,2,0.38,0.34,85023.0,4553.0
US-2017-5062126,2017-10-05,2017-10-08,Standard Class,KW-16570,FUR-BO-10001699,77.31,2,0.22,0.2,,1784.0
